iteration,npc_id,event_type,intent,score,winning_margin,stress,integrity,will_state,mask_active,scores_trace
24,npc_24,player_attack,idle,0.5345,0.4211,45.646182547017254,0.987892453066448,deceptive,True,"{'talk': 0.0442, 'warn': -0.0279, 'intimidate': -1.0, 'flee': -0.0171, 'attack': -1.0, 'help': 0.0975, 'report': 0.0435, 'trade': 0.024, 'observe': 0.1134, 'idle': 0.5345}"
25,npc_25,intimidation,trade,0.1834,0.036000000000000004,71.35448626110565,0.8930268327903168,coerced,True,"{'talk': -0.0404, 'warn': -0.0243, 'intimidate': 0.0426, 'flee': 0.0498, 'attack': 0.0498, 'help': 0.0561, 'report': 0.1474, 'trade': 0.1834, 'observe': 0.056, 'idle': 0.1169}"
26,npc_26,idle,idle,0.0,0.028999999999999998,85.67320323039343,0.0058960835839930725,deceptive,True,"{'talk': 0.0445, 'warn': 0.1417, 'intimidate': -0.2095, 'flee': -0.0339, 'attack': -0.1695, 'help': 0.061, 'report': 0.025, 'trade': -0.0222, 'observe': 0.1127, 'idle': 0.0905}"
27,npc_27,theft,report,0.2186,0.007800000000000001,84.05056630625586,0.5341236295325044,loyal,False,"{'talk': 0.2108, 'warn': 0.1349, 'intimidate': -0.5892, 'flee': 0.115, 'help': 0.2057, 'report': 0.2186, 'trade': 0.199, 'observe': 0.0848, 'idle': -0.0516}"
28,npc_28,PLAYER_SPOKE,idle,0.0,0.5811000000000001,25.22715317823806,0.5394190479225337,broken,True,"{'talk': 0.0082, 'flee': -0.0317, 'observe': 0.0689, 'idle': 0.0004, 'opp_attention_component': 0.0, 'opp_distance_component': 0.0, 'opp_weapon_component': 0.0, 'opp_allies_component': 0.0, 'opp_raw_score': 0.0, 'opp_threshold': 0.65}"
29,npc_29,npc_moved,talk,0.5746,0.1597,46.50339834352207,0.6058926925603113,free,True,"{'talk': 0.5746, 'warn': 0.1223, 'intimidate': -0.0626, 'flee': 0.0927, 'attack': -0.0246, 'help': 0.0425, 'report': 0.142, 'trade': 0.1557, 'observe': 0.3824, 'idle': 0.4149}"
30,npc_30,betrayal,flee,0.288,0.07689999999999997,10.190130544597654,0.6004116148168441,loyal,False,"{'talk': -0.0483, 'warn': 0.1578, 'intimidate': -1.0, 'flee': 0.288, 'help': 0.0365, 'report': 0.2069, 'trade': 0.0534, 'observe': 0.1057, 'idle': 0.2111}"
31,npc_31,movement,warn,0.2111,0.059,43.5487145007677,0.27008239638740084,loyal,True,"{'talk': 0.0465, 'warn': 0.2111, 'intimidate': -0.2405, 'flee': 0.1271, 'help': -0.0381, 'report': 0.0777, 'trade': 0.1521, 'observe': 0.07, 'idle': 0.0549}"
32,npc_32,player_interacts,talk,0.5001,0.14990000000000003,18.18398571576918,0.34033884316428364,broken,False,"{'talk': 0.5001, 'flee': -0.1173, 'observe': 0.3401, 'idle': 0.1655, 'opp_attention_component': 0.0, 'opp_distance_component': 0.0, 'opp_weapon_component': 0.0, 'opp_allies_component': 0.0, 'opp_raw_score': 0.0, 'opp_threshold': 0.65}"
33,npc_33,PLAYER_ATTACKED,idle,0.2751,0.3749,40.44011286779281,0.36902045066103695,broken,True,"{'talk': 0.0598, 'flee': -0.0023, 'observe': 0.0306, 'idle': 0.2751, 'opp_attention_component': 0.0, 'opp_distance_component': 0.0, 'opp_weapon_component': 0.0, 'opp_allies_component': 0.0, 'opp_raw_score': 0.0, 'opp_threshold': 0.65}"
34,npc_34,PLAYER_SPOKE,talk,0.223,0.1206,72.45850010930516,0.282998703274955,coerced,True,"{'talk': 0.223, 'warn': 0.0377, 'intimidate': -0.2447, 'flee': -0.0279, 'attack': -0.3087, 'help': 0.1024, 'report': 0.0568, 'trade': -0.028, 'observe': 0.091, 'idle': -0.0449}"
35,npc_35,weather_changed,warn,0.4439,0.0015000000000000013,46.93969449305102,0.051376717183577836,deceptive,False,"{'talk': 0.2802, 'warn': 0.4439, 'intimidate': -1.0, 'flee': 0.4424, 'attack': -1.0, 'help': 0.2032, 'report': 0.2868, 'trade': 0.0289, 'observe': 0.4299, 'idle': 0.4194}"
36,npc_36,smell_emitted,talk,0.3573,0.03510000000000002,79.07408298434194,0.45051446488875424,loyal,True,"{'talk': 0.3573, 'warn': -0.0084, 'intimidate': -0.3674, 'flee': 0.0958, 'help': 0.3222, 'report': 0.04, 'trade': 0.321, 'observe': 0.0599, 'idle': -0.0337}"
37,npc_37,player_insults,idle,0.4225,0.22750000000000004,0.2675722602885733,0.2912592890310276,broken,True,"{'talk': 0.3589, 'flee': 0.1943, 'observe': 0.2671, 'idle': 0.4225, 'opp_attention_component': 0.0, 'opp_distance_component': 0.0, 'opp_weapon_component': 0.0, 'opp_allies_component': 0.0, 'opp_raw_score': 0.0, 'opp_threshold': 0.65}"
38,npc_38,object_changed,idle,0.0,0.5475,7.140983685581414,0.7489577220696233,broken,True,"{'talk': 0.013, 'flee': -0.0187, 'observe': -0.0203, 'idle': 0.1025, 'opp_attention_component': 0.0, 'opp_distance_component': 0.0, 'opp_weapon_component': 0.0, 'opp_allies_component': 0.0, 'opp_raw_score': 0.0, 'opp_threshold': 0.65}"
39,npc_39,player_interacts,observe,0.9596,0.3096,9.13268866309852,0.5751991092199304,broken,False,"{'talk': 0.606, 'flee': -0.1622, 'observe': 0.9596, 'idle': 0.3987, 'opp_attention_component': 0.0, 'opp_distance_component': 0.0, 'opp_weapon_component': 0.0, 'opp_allies_component': 0.0, 'opp_raw_score': 0.0, 'opp_threshold': 0.65}"
40,npc_40,movement,flee,0.2295,0.013000000000000012,67.01335095211854,0.6936736739834325,deceptive,False,"{'talk': 0.0616, 'warn': 0.079, 'intimidate': -1.0, 'flee': 0.2295, 'attack': -1.0, 'help': 0.1159, 'report': 0.1954, 'trade': 0.178, 'observe': 0.2165, 'idle': 0.1871}"
41,npc_41,object_moved,idle,0.296,0.35400000000000004,75.64431540555738,0.20355823835027387,broken,True,"{'talk': -0.0458, 'flee': 0.0877, 'observe': 0.0609, 'idle': 0.296, 'opp_attention_component': 0.0, 'opp_distance_component': 0.0, 'opp_weapon_component': 0.0, 'opp_allies_component': 0.0, 'opp_raw_score': 0.0, 'opp_threshold': 0.65}"
42,npc_42,PLAYER_SPOKE,report,0.426,0.04909999999999998,46.14478941787834,0.49837550470719527,loyal,True,"{'talk': 0.1103, 'warn': 0.3597, 'intimidate': -0.0399, 'flee': 0.0423, 'help': -0.0539, 'report': 0.426, 'trade': 0.1784, 'observe': 0.3191, 'idle': 0.3769}"
43,npc_43,weather_changed,idle,0.2509,0.13890000000000002,33.98752431142955,0.00256525935857721,loyal,True,"{'talk': 0.0366, 'warn': -0.039, 'intimidate': -0.148, 'flee': -0.0062, 'help': 0.0999, 'report': 0.0906, 'trade': 0.1038, 'observe': 0.112, 'idle': 0.2509}"
44,npc_44,movement,idle,0.9405,0.8269,31.817632723379987,0.3812311469471361,coerced,True,"{'talk': -0.0133, 'warn': -0.0356, 'intimidate': -1.0, 'flee': 0.1102, 'attack': -1.0, 'help': 0.1136, 'report': 0.0251, 'trade': 0.0786, 'observe': -0.0149, 'idle': 0.9405}"
45,npc_45,proximity_leave,warn,0.6967,0.12880000000000003,96.99567940411062,0.2650227795434089,deceptive,False,"{'talk': 0.2629, 'warn': 0.6967, 'intimidate': -0.0481, 'flee': 0.2346, 'attack': -0.2053, 'help': 0.2373, 'report': 0.5679, 'trade': 0.4456, 'observe': 0.2187, 'idle': 0.2311}"
